2017,2018,,Hungrybox,,Plup,,Armada,,Leffen,,Mew2 King,,Mango,,Wizzrobe,,aMSa,,Zain,,Axe,,SFAT,,Crush,,S2J,,Lucky,,HugS,,Swedish Delight,,PewPewU,,Westballz,,n0ne,,Duck,,lloD,,AbsentPage,,Ryan Ford,,KJH,,Shroomed,,ARMY,,La Luna,,Syrox,,Trif,,Captain Smuckers,,Colbol,,iBDW,,Bananas,,Ginger,,Ice,,Rishi,,Mike Haze,,Bladewise,,Captain Faceroll,,Junebug,,Kalamazhu,,2saint,,Slox,,Gahtzu,,Michael,,Moky,,Santiago,,Professor Pro,,Medz,,Over Triforce,,ChuDat,,DruggedFox,,dizzkidboogie,,Kirby Kaze,,Nintendude,,Prince Abu,,Amsah,,Android,,Hax,,Kage,,MacD,,Laudandus,,SET COUNT VS. 1-50,,,SET COUNT VS. 26-50,,,SET COUNT VS. 11-25,,,SET COUNT VS. 7-10,,,SET COUNT VS. 1-6,,
32,23,Ryan Ford,0,3,0,2,,,,,0,4,,,0,2,,,,,,,0,3,,,0,2,1,0,1,0,2,0,,,0,1,1,5,0,1,,,0,1,,,1,1,,,0,1,1,0,,,,,1,0,2,0,,,,,0,1,,,,,,,0,2,,,,,,,,,1,0,,,,,7,8,,,,,,,,,,,,,,,,,,,2,0,,,,,0,1,4,0,,,,,15,-,30,10,-,6,5,-,10,0,-,5,0,-,9
34,24,KJH,0,4,,,,,0,1,0,1,0,1,0,1,,,0,5,,,0,2,3,4,0,2,1,1,0,1,2,2,2,0,1,0,0,1,15,10,4,1,2,3,1,1,,,0,2,,,0,1,,,,,,,2,0,1,1,,,16,5,,,2,0,,,1,0,,,,,,,2,0,2,1,,,1,0,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,0,1,,,,,,,54,-,49,27,-,9,27,-,29,0,-,4,0,-,7
13,25,Shroomed,0,2,,,,,0,2,0,1,,,,,,,0,1,0,1,0,3,,,0,1,0,1,,,,,1,0,1,1,1,1,1,0,1,1,,,,,2,0,,,1,1,0,1,0,1,,,,,,,0,1,,,,,,,,,0,1,1,0,0,1,,,4,0,,,1,0,,,,,1,0,,,,,,,,,1,0,,,1,0,,,,,,,,,,,1,0,1,0,,,,,14,-,20,8,-,4,6,-,9,0,-,2,0,-,5
53,26,ARMY,0,4,0,1,0,1,,,,,1,0,0,2,,,1,1,2,0,4,8,,,3,17,15,13,8,6,1,1,0,2,15,14,2,0,,,0,1,2,1,1,0,,,1,1,,,,,,,,,,,1,0,,,,,,,1,0,1,0,9,6,1,1,18,5,,,0,1,,,1,0,5,3,0,1,,,,,,,,,1,0,0,1,,,0,2,,,,,1,0,,,1,0,1,0,,,0,1,,,80,-,89,24,-,16,46,-,47,9,-,20,1,-,6
19,27,La Luna,0,2,0,3,0,1,0,1,,,0,1,0,1,0,1,0,2,0,3,0,2,0,1,0,1,,,4,2,1,1,0,1,3,0,2,1,,,1,1,1,3,0,1,1,0,1,0,,,,,,,,,2,0,,,3,4,1,0,1,0,,,1,1,1,0,1,0,0,1,0,1,0,2,1,1,1,0,,,,,1,0,,,,,1,2,0,1,1,0,,,,,,,,,,,,,,,2,1,,,,,,,25,-,35,11,-,9,14,-,10,0,-,8,0,-,8
33,28,Syrox,,,,,,,0,1,,,0,1,,,,,,,,,1,0,1,0,0,1,0,2,0,1,0,1,,,0,1,1,1,,,0,1,,,,,,,1,0,,,,,,,,,0,1,,,,,,,0,1,,,1,0,,,,,0,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,-,14,1,-,5,3,-,6,1,-,1,0,-,2
31,29,Trif,,,,,,,2,2,,,,,0,1,,,0,2,,,0,1,,,0,3,,,,,1,0,,,0,1,,,,,,,1,2,,,,,,,,,,,,,,,,,,,1,0,,,,,1,4,,,,,,,,,1,0,,,,,0,1,1,0,,,,,,,6,3,,,11,2,,,,,1,0,,,,,,,,,,,4,0,,,,,,,19,-,19,16,-,7,1,-,7,0,-,3,2,-,2
47,30,Captain Smuckers,,,,,,,,,,,,,,,,,2,1,,,1,0,1,1,,,,,0,1,0,1,0,1,,,,,,,,,,,0,1,,,,,,,0,2,1,0,,,,,0,1,2,1,,,,,,,3,5,,,,,,,,,,,6,4,3,5,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,5,4,,,,,,,16,-,22,14,-,17,3,-,5,1,-,0,0,-,0
30,31,Colbol,0,7,0,1,,,,,0,1,,,1,1,1,0,0,1,1,0,,,,,,,,,0,1,,,0,1,,,1,0,1,1,1,2,,,0,2,0,2,,,0,1,,,,,,,1,0,,,,,,,1,0,,,,,,,,,,,1,0,,,,,,,11,0,0,1,,,,,,,,,,,,,,,,,,,,,0,1,,,,,0,1,,,,,,,19,-,21,14,-,7,2,-,3,3,-,2,0,-,9
84,32,iBDW,,,,,,,,,0,1,0,1,,,,,0,1,,,,,0,4,0,1,0,1,1,0,1,1,0,1,1,0,0,1,,,1,1,,,,,1,1,1,0,,,4,3,,,0,1,1,2,,,,,0,1,2,0,,,2,2,,,,,,,0,1,1,0,1,0,2,1,1,0,,,0,1,,,,,,,1,0,,,,,,,,,,,,,,,1,1,4,2,,,,,,,20,-,25,15,-,11,5,-,11,0,-,1,0,-,2
